postal_code,walk_score,bike_score,transit_score
T2E 4P6,63,93,55
T3H 6A2,25,50,46
T3E 3J9,52,66,48
T2W 6H4,38,63,33
T3C 0X7,89,94,63
T3K 0M4,38,65,50
T2M 4R1,76,99,56
T2V 1S2,33,69,32
T3M 0R6,13,36,34
T3L 2S7,12,58,34
T3K 1S9,12,57,42
T2T 5P8,57,82,44
T3B 0A7,53,88,50
T3L 1X7,17,66,37
T2R 1E3,89,96,72
T2L 0H3,34,81,48
T2Y 4B6,24,59,40
T3E 2C4,59,89,56
T2L 2L6,65,91,65
T2J 0X3,39,65,36
T3P 0L8,0,30,0
T2S 2V8,55,91,59
T3M 2J2,8,55,34
T3M 2W8,34,73,38
T2E 1H1,84,86,58
T2A 3M8,38,61,49
T3E 5Y3,13,62,43
T3C 3K9,38,84,40
T3G 5X1,34,49,29
T2H 1P6,43,79,48
T3M 2X7,37,71,38
T3K 6C4,38,65,50
T2T 2V3,33,78,43
T3G 4B8,14,62,40
T3N 0P5,0,26,18
T2Z 2H2,16,65,34
T2E 1V2,67,88,48
T2K 3T3,56,53,55
T3L 0C4,7,21,20
T2W 5J9,43,60,33
T3H 5C8,18,70,36
T3H 5X8,47,55,32
T3C 2Y8,37,76,48
T2S 0M2,67,95,59
T3M 0E1,22,45,37
T2A 4H1,52,67,44
T3E 2L2,62,74,51
T2P 0C3,93,95,77
T3K 1Z1,23,63,51
T2L 0G9,43,78,48
T3G 5W8,38,69,36
T2Z 0C4,62,81,47
T3N 0B1,13,50,34
T2E 4C7,41,88,41
T2X 4E6,12,45,38
T3M 2H1,8,55,34
T2Z 2M4,8,48,35
T2Y 0C9,6,61,31
T3G 4L7,16,55,32
T3G 5B3,30,43,46
T1Y 5L8,43,72,39
T3B 6C5,9,41,36
T3R 0W8,0,38,0
T3M 0X3,19,73,41
T2E 4N2,69,96,55
T3H 1Y1,25,50,44
T3E 6P4,47,73,43
T2M 4M7,78,99,59
T2Z 3R4,58,80,46
T3H 0Y9,25,50,46
T3G 3R9,28,57,38
T2S 0X9,40,81,50
T3K 0W5,68,67,53
T3N 0T6,0,26,18
T2X 0J4,42,66,32
T3H 5S3,18,64,34
T3H 3J3,41,72,35
T2X 4A6,12,45,38
T3A 6B4,26,21,36
T2V 5J8,42,71,33
T2A 7Z2,21,53,43
T3K 4S5,48,72,52
T2Y 4B1,22,55,46
T2Z 3X7,36,63,43
T2X 0N5,16,34,39
T3J 3B9,66,77,53
T2X 0Y1,12,45,38
T2X 3Z5,6,41,N/A
T2S 0A9,95,97,69
T2X 4A5,12,45,38
T2Z 2J5,24,66,39
T2R 1B5,92,94,78
T2X 3H4,11,36,28
T3B 3M1,23,52,36
T3R 0Y1,14,49,34
T2X 4L3,12,45,38
T3N 0T8,7,43,33
T3J 5K4,18,68,54
T2A 4G4,41,47,49
T3M 1V8,6,36,27
T3M 1B9,13,60,35
T3C 1T8,70,88,56
